id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position,r
1100006,ENSG00000171385,3727,KCND3,"potassium voltage-gated channel, Shal-related subfamily, member 3",3752,1,n/a,n/a,0.824
1094656,ENSG00000138772,303,ANXA3,annexin A3,306,4,n/a,n/a,0.824
1094464,ENSG00000137824,34466,FAM82A2,"family with sequence similarity 82, member A2",55177,15,n/a,n/a,0.821
279825644,ENSG00000228789,94701,HCG22,HLA complex group 22 (non-protein coding),285834,6,n/a,n/a,0.821
1109029,ENSG00000242220,79856,TCP10L,t-complex 10 (mouse)-like,140290,21,n/a,n/a,0.818
1089310,ENSG00000101019,34534,UQCC,ubiquinol-cytochrome c reductase complex chaperone,55245,20,n/a,n/a,0.817
1099142,ENSG00000167749,9478,KLK4,kallikrein-related peptidase 4,9622,19,n/a,n/a,0.817
1105384,ENSG00000205106,119464,CTD-2210P24.4,Uncharacterized protein,374387,11,n/a,n/a,0.816
1106087,ENSG00000214456,133671,PLIN5,perilipin 5,440503,19,n/a,n/a,0.815
1101584,ENSG00000179456,10325,ZNF238,zinc finger protein 238,10472,1,n/a,n/a,0.815
1091908,ENSG00000120088,1385,CRHR1,corticotropin releasing hormone receptor 1,1394,17,n/a,n/a,0.814
1096217,ENSG00000150275,41735,PCDH15,protocadherin-related 15,65217,10,n/a,n/a,0.814
279948962,ENSG00000240478,0,RP11-416O18.2,RP11-416O18.2,0,3,n/a,n/a,0.811
280027714,ENSG00000250569,0,CTD-3083F21.1,CTD-3083F21.1,0,8,n/a,n/a,0.81
1088213,ENSG00000076242,4267,MLH1,"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",4292,3,n/a,n/a,0.81
279898612,ENSG00000235261,0,NICN1-AS1,NICN1 antisense RNA 1 (non-protein coding),0,3,n/a,n/a,0.809
1105853,ENSG00000213398,3906,LCAT,lecithin-cholesterol acyltransferase,3931,16,n/a,n/a,0.808
1099747,ENSG00000170290,6550,SLN,sarcolipin,6588,11,n/a,n/a,0.806
279754242,ENSG00000221496,0,U3,Small nucleolar RNA U3,0,17,n/a,n/a,0.806
279858707,ENSG00000231760,0,RP11-350J20.5,RP11-350J20.5,0,6,n/a,n/a,0.806
1088436,ENSG00000082196,77615,C1QTNF3,C1q and tumor necrosis factor related protein 3,114899,5,n/a,n/a,0.805
1099986,ENSG00000171246,4853,NPTX1,neuronal pentraxin I,4884,17,n/a,n/a,0.805
1092516,ENSG00000125046,30548,C3orf32,chromosome 3 open reading frame 32,51066,3,n/a,n/a,0.803
1087659,ENSG00000058335,5891,RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1,5923,15,n/a,n/a,0.803
1094136,ENSG00000136147,30613,PHF11,PHD finger protein 11,51131,13,n/a,n/a,0.802
1108819,ENSG00000237807,0,RP11-400K9.4,RP11-400K9.4,0,8,n/a,n/a,0.801
280095658,ENSG00000256417,0,RP11-1038A11.3,RP11-1038A11.3,0,12,n/a,n/a,0.8
1098077,ENSG00000163754,2975,GYG1,glycogenin 1,2992,3,n/a,n/a,0.8
1104340,ENSG00000197622,36161,CDC42SE1,CDC42 small effector 1,56882,1,n/a,n/a,0.8
279745793,ENSG00000217094,0,RP11-460H18.1,RP11-460H18.1,0,10,n/a,n/a,0.799
1095692,ENSG00000145882,54831,PCYOX1L,prenylcysteine oxidase 1 like,78991,5,n/a,n/a,0.799
1106627,ENSG00000223501,6259,VPS52,vacuolar protein sorting 52 homolog (S. cerevisiae),6293,6,n/a,n/a,0.799
280102958,ENSG00000257225,0,RP11-328C8.4,RP11-328C8.4,0,12,n/a,n/a,0.797
1095410,ENSG00000143858,79247,SYT2,synaptotagmin II,127833,1,n/a,n/a,0.797
1094701,ENSG00000139174,80348,PRICKLE1,prickle homolog 1 (Drosophila),144165,12,n/a,n/a,0.795
1094445,ENSG00000137766,133462,UNC13C,unc-13 homolog C (C. elegans),440279,15,n/a,n/a,0.794
1093617,ENSG00000133067,37776,LGR6,leucine-rich repeat containing G protein-coupled receptor 6,59352,1,n/a,n/a,0.793
1092049,ENSG00000121236,78672,TRIM6,tripartite motif containing 6,117854,11,n/a,n/a,0.792
280092105,ENSG00000256008,0,RP11-728G15.1,RP11-728G15.1,0,12,n/a,n/a,0.792
1094188,ENSG00000136444,34605,RSAD1,radical S-adenosyl methionine domain containing 1,55316,17,n/a,n/a,0.791
280112782,ENSG00000258197,0,NKX2-2-AS1,NKX2-2 antisense RNA 1 (non-protein coding),0,20,n/a,n/a,0.791
1096488,ENSG00000152578,2876,GRIA4,"glutamate receptor, ionotrophic, AMPA 4",2893,11,n/a,n/a,0.791
1093545,ENSG00000132671,6714,SSTR4,somatostatin receptor 4,6754,20,n/a,n/a,0.791
279738013,ENSG00000215201,0,AP000269.1,AP000269.1,0,21,n/a,n/a,0.789
279903525,ENSG00000235732,0,OBSCN-IT2,OBSCN intronic transcript 2 (non-protein coding),0,1,n/a,n/a,0.789
279851659,ENSG00000231154,0,RP5-1055C14.7,RP5-1055C14.7,0,X,n/a,n/a,0.789
1095374,ENSG00000143632,55,ACTA1,"actin, alpha 1, skeletal muscle",58,1,n/a,n/a,0.789
1102667,ENSG00000184788,109881,SATL1,spermidine/spermine N1-acetyl transferase-like 1,340562,X,n/a,n/a,0.787
279808249,ENSG00000227191,0,TRGC2,T cell receptor gamma constant 2,0,7,n/a,n/a,0.786
1093230,ENSG00000130714,10438,POMT1,protein-O-mannosyltransferase 1,10585,9,n/a,n/a,0.786
1095432,ENSG00000143995,4186,MEIS1,Meis homeobox 1,4211,2,n/a,n/a,0.786
1098966,ENSG00000167077,80880,MEI1,meiosis inhibitor 1,150365,22,n/a,n/a,0.785
1098952,ENSG00000166979,37695,C21orf63,chromosome 21 open reading frame 63,59271,21,n/a,n/a,0.784
1096762,ENSG00000154920,80570,EME1,essential meiotic endonuclease 1 homolog 1 (S. pombe),146956,17,n/a,n/a,0.782
1095909,ENSG00000147488,9561,ST18,suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein),9705,8,n/a,n/a,0.782
279721149,ENSG00000213355,0,CNN2P8,calponin 2 pseudogene 8,0,2,n/a,n/a,0.779
1091897,ENSG00000120049,29810,KCNIP2,Kv channel interacting protein 2,30819,10,n/a,n/a,0.778
1095605,ENSG00000145283,110163,SLC10A6,"solute carrier family 10 (sodium/bile acid cotransporter family), member 6",345274,4,n/a,n/a,0.778
1092629,ENSG00000125820,4790,NKX2-2,NK2 homeobox 2,4821,20,n/a,n/a,0.778
1095150,ENSG00000142273,23378,CBLC,Cas-Br-M (murine) ecotropic retroviral transforming sequence c,23624,19,n/a,n/a,0.778
280096058,ENSG00000256466,0,AP003026.1,AP003026.1,0,11,n/a,n/a,0.777
1094142,ENSG00000136158,10107,SPRY2,sprouty homolog 2 (Drosophila),10253,13,n/a,n/a,0.776
1093196,ENSG00000130540,25579,SULT4A1,"sulfotransferase family 4A, member 1",25830,22,n/a,n/a,0.776
1105245,ENSG00000204681,2534,GABBR1,"gamma-aminobutyric acid (GABA) B receptor, 1",2550,6,n/a,n/a,0.775
1089812,ENSG00000104490,58204,NCALD,neurocalcin delta,83988,8,n/a,n/a,0.775
1099673,ENSG00000169933,9614,FRMPD4,FERM and PDZ domain containing 4,9758,X,n/a,n/a,0.775
1098479,ENSG00000165124,55789,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",79987,9,n/a,n/a,0.773
279755593,ENSG00000221743,0,Z95152.1,Z95152.1,0,6,n/a,n/a,0.772
1109110,ENSG00000243789,0,JMJD7,jumonji domain containing 7,0,15,n/a,n/a,0.772
1090327,ENSG00000107672,34069,NSMCE4A,non-SMC element 4 homolog A (S. cerevisiae),54780,10,n/a,n/a,0.771
1098308,ENSG00000164434,2158,FABP7,"fatty acid binding protein 7, brain",2173,6,n/a,n/a,0.771
1092934,ENSG00000128510,30682,CPA4,carboxypeptidase A4,51200,7,n/a,n/a,0.771
1090476,ENSG00000108773,2632,KAT2A,K(lysine) acetyltransferase 2A,2648,17,n/a,n/a,0.77
1106848,ENSG00000224877,94201,C17orf89,chromosome 17 open reading frame 89,284184,17,n/a,n/a,0.77
1094555,ENSG00000138286,105961,FAM149B1,"family with sequence similarity 149, member B1",317662,10,n/a,n/a,0.77
1096040,ENSG00000148604,5963,RGR,retinal G protein coupled receptor,5995,10,n/a,n/a,0.769
1096913,ENSG00000156299,7031,TIAM1,T-cell lymphoma invasion and metastasis 1,7074,21,n/a,n/a,0.769
1109135,ENSG00000244274,35149,DBNDD2,dysbindin (dystrobrevin binding protein 1) domain containing 2,55861,20,n/a,n/a,0.769
1089523,ENSG00000102174,5219,PHEX,"phosphate regulating endopeptidase homolog, X-linked",5251,X,n/a,n/a,0.769
1100840,ENSG00000175356,37030,SCUBE2,"signal peptide, CUB domain, EGF-like 2",57758,11,n/a,n/a,0.768
1100103,ENSG00000171772,60278,SYCE1,synaptonemal complex central element protein 1,93426,10,n/a,n/a,0.768
279826358,ENSG00000228852,0,RP11-57H12.5,RP11-57H12.5,0,1,n/a,n/a,0.768
280020209,ENSG00000249961,94090,CCDC79,CCDC79,283847,16,n/a,n/a,0.768
1106713,ENSG00000224016,0,RP11-728K20.1,RP11-728K20.1,0,7,n/a,n/a,0.767
1096733,ENSG00000154678,5105,PDE1C,"phosphodiesterase 1C, calmodulin-dependent 70kDa",5137,7,n/a,n/a,0.767
1089317,ENSG00000101079,36719,NDRG3,NDRG family member 3,57446,20,n/a,n/a,0.767
1093359,ENSG00000131459,9801,GFPT2,glutamine-fructose-6-phosphate transaminase 2,9945,5,n/a,n/a,0.766
1092437,ENSG00000124479,4667,NDP,Norrie disease (pseudoglioma),4693,X,n/a,n/a,0.766
279906238,ENSG00000236015,0,AC011290.5,AC011290.5,0,7,n/a,n/a,0.766
1102286,ENSG00000183230,28855,CTNNA3,"catenin (cadherin-associated protein), alpha 3",29119,10,n/a,n/a,0.765
1092773,ENSG00000126861,4942,OMG,oligodendrocyte myelin glycoprotein,4974,17,n/a,n/a,0.765
1102392,ENSG00000183653,1023518,GRIK1-AS2,GRIK1 antisense RNA 2 (non-protein coding),100379661,21,n/a,n/a,0.765
1095851,ENSG00000147124,7549,ZNF41,zinc finger protein 41,7592,X,n/a,n/a,0.764
1090296,ENSG00000107295,6420,SH3GL2,SH3-domain GRB2-like 2,6456,9,n/a,n/a,0.763
279830288,ENSG00000229214,125558,LINC00242,long intergenic non-protein coding RNA 242,401288,6,n/a,n/a,0.763
279774698,ENSG00000224292,0,AF196972.9,AF196972.9,0,X,n/a,n/a,0.763
1097575,ENSG00000161647,4330,MPP3,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)",4356,17,n/a,n/a,0.763
280094179,ENSG00000256249,0,RP11-324E6.6,RP11-324E6.6,0,12,n/a,n/a,0.762
1087490,ENSG00000047365,78289,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",116984,4,n/a,n/a,0.762
279918475,ENSG00000237135,0,RP11-330O11.2,RP11-330O11.2,0,10,n/a,n/a,0.761
1088851,ENSG00000092421,36829,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",57556,5,n/a,n/a,0.761
1092441,ENSG00000124493,2897,GRM4,"glutamate receptor, metabotropic 4",2914,6,n/a,n/a,0.761
1091858,ENSG00000119771,77542,KLHL29,kelch-like 29 (Drosophila),114818,2,n/a,n/a,0.76
1104411,ENSG00000197852,35211,C1orf183,chromosome 1 open reading frame 183,55924,1,n/a,n/a,0.76
279840698,ENSG00000230163,0,RP5-997D16.2,RP5-997D16.2,0,1,n/a,n/a,0.76
1087130,ENSG00000010438,5614,PRSS3,"protease, serine, 3",5646,9,n/a,n/a,0.76
279868010,ENSG00000232586,157124023,RP11-46A10.4,RP11-46A10.4,100509205,1,n/a,n/a,0.76
279872145,ENSG00000232937,0,RP11-98D18.2,RP11-98D18.2,0,1,n/a,n/a,0.759
1101411,ENSG00000178445,2714,GLDC,glycine dehydrogenase (decarboxylating),2731,9,n/a,n/a,0.759
1095580,ENSG00000145029,58486,NICN1,nicolin 1,84276,3,n/a,n/a,0.759
280108872,ENSG00000257803,0,RP11-575G13.2,RP11-575G13.2,0,12,n/a,n/a,0.757
1097326,ENSG00000159708,34571,LRRC36,leucine rich repeat containing 36,55282,16,n/a,n/a,0.757
279958840,ENSG00000241656,0,UBA52P7,ubiquitin A-52 residue ribosomal protein fusion product 1 pseudogene 7,0,12,n/a,n/a,0.757
1108734,ENSG00000237248,157120623,RP11-118B22.2,RP11-118B22.2,100499405,12,n/a,n/a,0.756
1093791,ENSG00000134317,29576,GRHL1,grainyhead-like 1 (Drosophila),29841,2,n/a,n/a,0.756
1100537,ENSG00000173715,55506,C11orf80,chromosome 11 open reading frame 80,79703,11,n/a,n/a,0.756
279915858,ENSG00000236905,0,RP11-348H3.2,RP11-348H3.2,0,1,n/a,n/a,0.756
1104754,ENSG00000198821,914,CD247,CD247 molecule,919,1,n/a,n/a,0.755
1094012,ENSG00000135519,23171,KCNH3,"potassium voltage-gated channel, subfamily H (eag-related), member 3",23416,12,n/a,n/a,0.753
1091274,ENSG00000115194,7736,SLC30A3,"solute carrier family 30 (zinc transporter), member 3",7781,2,n/a,n/a,0.753
1094264,ENSG00000136842,7068,TMOD1,tropomodulin 1,7111,9,n/a,n/a,0.753
1094692,ENSG00000139144,5256,PIK3C2G,"phosphoinositide-3-kinase, class 2, gamma polypeptide",5288,12,n/a,n/a,0.753
1101232,ENSG00000177461,0,CCDC79,coiled-coil domain containing 79,0,16,n/a,n/a,0.752
280027543,ENSG00000250555,0,CTC-467M3.2,CTC-467M3.2,0,5,n/a,n/a,0.752
1090412,ENSG00000108375,34183,RNF43,ring finger protein 43,54894,17,n/a,n/a,0.752
1103332,ENSG00000187595,83618,ZNF385C,zinc finger protein 385C,201181,17,n/a,n/a,0.752
280129361,ENSG00000259234,168577,RP11-17L5.4,RP11-17L5.4,729911,15,n/a,n/a,0.752
280019550,ENSG00000249915,9872,PDCD6,programmed cell death 6,10016,5,n/a,n/a,0.751
280067553,ENSG00000254204,0,RP11-400K9.3,RP11-400K9.3,0,8,n/a,n/a,0.751
279811059,ENSG00000227462,0,RP11-108B14.4,RP11-108B14.4,0,10,n/a,n/a,0.75
279993109,ENSG00000246448,0,RP13-578N3.3,RP13-578N3.3,0,4,n/a,n/a,0.75
279660682,ENSG00000200344,0,Y_RNA,Y RNA,0,1,n/a,n/a,0.75
279758754,ENSG00000222112,0,7SK,7SK RNA,0,1,n/a,n/a,0.748
1087650,ENSG00000057704,36731,TMCC3,transmembrane and coiled-coil domain family 3,57458,12,n/a,n/a,0.748
280119706,ENSG00000258680,0,RP11-506K19.1,RP11-506K19.1,0,14,n/a,n/a,0.748
1096393,ENSG00000151838,169497,C14orf38,chromosome 14 open reading frame 38,729665,14,n/a,n/a,0.748
1099099,ENSG00000167619,94257,TMEM145,transmembrane protein 145,284339,19,n/a,n/a,0.748
1091198,ENSG00000114547,81032,ROPN1B,rhophilin associated tail protein 1B,152015,3,n/a,n/a,0.748
279991390,ENSG00000245902,0,AC006116.1,AC006116.1,0,19,n/a,n/a,0.748
279810882,ENSG00000227440,0,ATP5G1P4,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 4",0,3,n/a,n/a,0.747
280056180,ENSG00000253392,0,AC006277.2,AC006277.2,0,19,n/a,n/a,0.747
280017626,ENSG00000249780,0,RP11-352E6.2,RP11-352E6.2,0,4,n/a,n/a,0.747
1095289,ENSG00000143318,840,CASQ1,"calsequestrin 1 (fast-twitch, skeletal muscle)",844,1,n/a,n/a,0.746
1087773,ENSG00000064787,8471,BCAS1,breast carcinoma amplified sequence 1,8537,20,n/a,n/a,0.746
1102390,ENSG00000183647,110382,ZNF530,zinc finger protein 530,348327,19,n/a,n/a,0.746
279462726,ENSG00000175147,0,C1orf126,chromosome 1 open reading frame 126,0,1,n/a,n/a,0.746
1102311,ENSG00000183323,83684,CCDC125,coiled-coil domain containing 125,202243,5,n/a,n/a,0.745
279836678,ENSG00000229808,0,RP11-456P18.2,RP11-456P18.2,0,1,n/a,n/a,0.745
280034994,ENSG00000251160,0,RP11-399D2.1,RP11-399D2.1,0,4,n/a,n/a,0.745
1106144,ENSG00000214711,133999,CAPN14,calpain 14,440854,2,n/a,n/a,0.745
1101167,ENSG00000177106,41360,EPS8L2,EPS8-like 2,64787,11,n/a,n/a,0.743
279836639,ENSG00000229806,0,RPS15P5,ribosomal protein S15 pseudogene 5,0,3,n/a,n/a,0.742
1101247,ENSG00000177511,30528,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",51046,18,n/a,n/a,0.742
279796359,ENSG00000226167,1019538,RP5-1073O3.5,RP5-1073O3.5,100287722,1,n/a,n/a,0.742
1097749,ENSG00000162670,109685,FAM5C,"family with sequence similarity 5, member C",339479,1,n/a,n/a,0.741
1102555,ENSG00000184304,5555,PRKD1,protein kinase D1,5587,14,n/a,n/a,0.741
1094081,ENSG00000135905,34908,DOCK10,dedicator of cytokinesis 10,55619,2,n/a,n/a,0.741
1100917,ENSG00000175806,4456,MSRA,methionine sulfoxide reductase A,4482,8,n/a,n/a,0.741
1087718,ENSG00000062598,40559,ELMO2,engulfment and cell motility 2,63916,20,n/a,n/a,0.74
279991578,ENSG00000245958,170122,RP11-33B1.1,RP11-33B1.1,645513,4,n/a,n/a,0.74
280055863,ENSG00000253369,0,RP11-1081M5.1,RP11-1081M5.1,0,8,n/a,n/a,0.74
1098647,ENSG00000165819,35619,METTL3,methyltransferase like 3,56339,14,n/a,n/a,0.74
1089558,ENSG00000102445,55984,KIAA0226L,KIAA0226-like,80183,13,n/a,n/a,0.739
279850722,ENSG00000231063,0,AC006994.1,AC006994.1,0,2,n/a,n/a,0.739
1095593,ENSG00000145194,9574,ECE2,endothelin converting enzyme 2,9718,3,n/a,n/a,0.739
279976623,ENSG00000243587,0,C6orf183,chromosome 6 open reading frame 183,0,6,n/a,n/a,0.738
1093829,ENSG00000134533,59192,RERG,"RAS-like, estrogen-regulated, growth inhibitor",85004,12,n/a,n/a,0.738
1104286,ENSG00000197465,2979,GYPE,glycophorin E (MNS blood group),2996,4,n/a,n/a,0.737
280022582,ENSG00000250151,0,ARPC4-TTLL3,ARPC4-TTLL3 readthrough,0,3,n/a,n/a,0.737
1094086,ENSG00000135917,56478,SLC19A3,"solute carrier family 19, member 3",80704,2,n/a,n/a,0.737
1094493,ENSG00000137965,10414,IFI44,interferon-induced protein 44,10561,1,n/a,n/a,0.737
1100658,ENSG00000174429,79707,ABRA,actin-binding Rho activating protein,137735,8,n/a,n/a,0.737
279909021,ENSG00000236276,0,NDP-AS1,NDP antisense RNA 1 (non-protein coding),0,X,n/a,n/a,0.736
1088469,ENSG00000083454,4994,P2RX5,"purinergic receptor P2X, ligand-gated ion channel, 5",5026,17,n/a,n/a,0.736
1095370,ENSG00000143624,41641,INTS3,integrator complex subunit 3,65123,1,n/a,n/a,0.736
1108738,ENSG00000237289,1150,CKMT1B,"creatine kinase, mitochondrial 1B",1159,15,n/a,n/a,0.736
1102364,ENSG00000183570,33332,PCBP3,poly(rC) binding protein 3,54039,21,n/a,n/a,0.736
1088515,ENSG00000084734,2630,GCKR,glucokinase (hexokinase 4) regulator,2646,2,n/a,n/a,0.736
279788537,ENSG00000225506,0,RP1-18D14.3,RP1-18D14.3,0,1,n/a,n/a,0.735
1088293,ENSG00000078269,8792,SYNJ2,synaptojanin 2,8871,6,n/a,n/a,0.735
1105574,ENSG00000205810,3798,KLRC3,"killer cell lectin-like receptor subfamily C, member 3",3823,12,n/a,n/a,0.735
1091853,ENSG00000119723,30487,COQ6,"coenzyme Q6 homolog, monooxygenase (S. cerevisiae)",51004,14,n/a,n/a,0.735
280135594,ENSG00000259583,0,RP11-66B24.4,RP11-66B24.4,0,15,n/a,n/a,0.735
280088895,ENSG00000255655,0,RP11-256L11.3,RP11-256L11.3,0,12,n/a,n/a,0.735
280025552,ENSG00000250385,0,RP11-310P5.2,RP11-310P5.2,0,5,n/a,n/a,0.734
1093558,ENSG00000132716,30205,DCAF8,DDB1 and CUL4 associated factor 8,50717,1,n/a,n/a,0.734
1104448,ENSG00000197948,59783,FCHSD1,FCH and double SH3 domains 1,89848,5,n/a,n/a,0.734
1097888,ENSG00000163161,2056,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2,n/a,n/a,0.734
1098368,ENSG00000164691,78576,TAGAP,T-cell activation RhoGTPase activating protein,117289,6,n/a,n/a,0.734
1105990,ENSG00000214106,1002948,AC093726.6,HCG1999107Uncharacterized protein,100132707,7,n/a,n/a,0.734
1092915,ENSG00000128285,2830,MCHR1,melanin-concentrating hormone receptor 1,2847,22,n/a,n/a,0.733
1103615,ENSG00000188681,0,MAFIP,MAFF interacting protein,0,21,n/a,n/a,0.733
279814733,ENSG00000227811,157122087,RP4-773A18.4,RP4-773A18.4,100506343,1,n/a,n/a,0.733
1100454,ENSG00000173295,94762,AC068020.1,AC068020.1,286042,8,n/a,n/a,0.732
1101240,ENSG00000177479,10278,ARIH2,ariadne homolog 2 (Drosophila),10425,3,n/a,n/a,0.732
279978832,ENSG00000243762,0,AC006547.8,AC006547.8,0,22,n/a,n/a,0.731
280106387,ENSG00000257540,0,RP11-259K21.3,RP11-259K21.3,0,12,n/a,n/a,0.731
1098830,ENSG00000166501,5547,PRKCB,"protein kinase C, beta",5579,16,n/a,n/a,0.731
1087716,ENSG00000062524,4033,LTK,leukocyte receptor tyrosine kinase,4058,15,n/a,n/a,0.731
280085819,ENSG00000255404,0,RP11-770G2.5,RP11-770G2.5,0,11,n/a,n/a,0.73
1097387,ENSG00000160200,871,CBS,cystathionine-beta-synthase,875,21,n/a,n/a,0.729
1088129,ENSG00000074211,5490,PPP2R2C,"protein phosphatase 2, regulatory subunit B, gamma",5522,4,n/a,n/a,0.729
279955114,ENSG00000241247,0,AC006378.3,AC006378.3,0,7,n/a,n/a,0.729
1106283,ENSG00000215218,79586,UBE2QL1,ubiquitin-conjugating enzyme E2Q family-like 1,134111,5,n/a,n/a,0.728
1089539,ENSG00000102287,2548,GABRE,"gamma-aminobutyric acid (GABA) A receptor, epsilon",2564,X,n/a,n/a,0.728
280021717,ENSG00000250073,0,RP11-677M14.3,RP11-677M14.3,0,11,n/a,n/a,0.728
279973262,ENSG00000243250,0,RPS6P16,ribosomal protein S6 pseudogene 16,0,11,n/a,n/a,0.727
1097010,ENSG00000157150,7036,TIMP4,TIMP metallopeptidase inhibitor 4,7079,3,n/a,n/a,0.727
1090683,ENSG00000110514,8501,MADD,MAP-kinase activating death domain,8567,11,n/a,n/a,0.727
279816383,ENSG00000227948,0,AC003989.4,AC003989.4,0,7,n/a,n/a,0.727
280004685,ENSG00000248677,0,CTD-2044J15.1,CTD-2044J15.1,0,5,n/a,n/a,0.725
1100879,ENSG00000175575,56028,PAAF1,proteasomal ATPase-associated factor 1,80227,11,n/a,n/a,0.725
279812077,ENSG00000227544,157122593,AC018647.3,AC018647.3,100506725,7,n/a,n/a,0.725
1091552,ENSG00000116991,36841,SIPA1L2,signal-induced proliferation-associated 1 like 2,57568,1,n/a,n/a,0.724
1096767,ENSG00000154975,36213,CA10,carbonic anhydrase X,56934,17,n/a,n/a,0.724
279897461,ENSG00000235150,0,RP11-186O14.4,RP11-186O14.4,0,10,n/a,n/a,0.724
1090925,ENSG00000112242,1859,E2F3,E2F transcription factor 3,1871,6,n/a,n/a,0.723
1096539,ENSG00000153002,1351,CPB1,carboxypeptidase B1 (tissue),1360,3,n/a,n/a,0.723
1097864,ENSG00000163082,79416,SGPP2,sphingosine-1-phosphate phosphatase 2,130367,2,n/a,n/a,0.723
